LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vhys, no_mode, low, 0, 0.454
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vhys, no_mode, high, 0, 0.499
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vih, S, low, 0, 1.679
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vih, S, high, 0, 1.797
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vil, S, low, 0, 1.195
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vil, S, high, 0, 1.327
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vih, no_mode, low, 0, 1.382
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vih, no_mode, high, 0, 1.552
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vil, no_mode, low, 0, 1.382
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, vil, no_mode, high, 0, 1.552
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, iih, no_mode, low, 0, -1.44e-07
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, iih, no_mode, high, 0, -2.073e-09
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, iil, no_mode, low, 0, 6.838e-09
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, iil, no_mode, high, 0, 5.66e-07
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, ipd, 0, single, 0, 6.605e-05
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, ipu, 3, single, 0, -6.652e-05
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, ibkpu, 2, single, 0, -1.985e-05
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, ibkpd, 2, single, 0, 1.969e-05
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, ioh, no_mode, single, 4, -0.006421
onnn040glopc3, iopgp6c3cpxe04_c3, bc, 3.63, 150, iol, no_mode, single, 4, 0.006185
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vhys, no_mode, low, 0, 0.454
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vhys, no_mode, high, 0, 0.499
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vih, S, low, 0, 1.679
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vih, S, high, 0, 1.797
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vil, S, low, 0, 1.195
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vil, S, high, 0, 1.327
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vih, no_mode, low, 0, 1.382
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vih, no_mode, high, 0, 1.552
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vil, no_mode, low, 0, 1.382
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, vil, no_mode, high, 0, 1.552
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, iih, no_mode, low, 0, -1.44e-07
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, iih, no_mode, high, 0, -2.073e-09
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, iil, no_mode, low, 0, 6.838e-09
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, iil, no_mode, high, 0, 5.66e-07
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, ipd, 0, single, 0, 6.605e-05
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, ipu, 3, single, 0, -6.652e-05
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, ibkpu, 2, single, 0, -1.985e-05
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, ibkpd, 2, single, 0, 1.969e-05
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, ioh, no_mode, single, 8, -0.01282
onnn040glopc3, iopgp6c3cpxe08_c3, bc, 3.63, 150, iol, no_mode, single, 8, 0.01235
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vhys, no_mode, low, 0, 0.454
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vhys, no_mode, high, 0, 0.499
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vih, S, low, 0, 1.679
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vih, S, high, 0, 1.797
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vil, S, low, 0, 1.195
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vil, S, high, 0, 1.327
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vih, no_mode, low, 0, 1.382
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vih, no_mode, high, 0, 1.552
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vil, no_mode, low, 0, 1.382
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, vil, no_mode, high, 0, 1.552
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, iih, no_mode, low, 0, -1.44e-07
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, iih, no_mode, high, 0, -2.073e-09
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, iil, no_mode, low, 0, 6.838e-09
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, iil, no_mode, high, 0, 5.66e-07
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, ipd, 0, single, 0, 6.605e-05
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, ipu, 3, single, 0, -6.652e-05
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, ibkpu, 2, single, 0, -1.985e-05
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, ibkpd, 2, single, 0, 1.969e-05
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, ioh, no_mode, single, 12, -0.0192
onnn040glopc3, iopgp6c3cpxe12_c3, bc, 3.63, 150, iol, no_mode, single, 12, 0.0185
