LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180caopcm, ibacstct_cm, 5sig_bc, 2.75, 0, ibkpu, 2, single, 0, -4.305e-05
onnn180caopcm, ibacstct_cm, 5sig_bc, 2.75, 0, ibkpd, 2, single, 0, 3.656e-05
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, vhys, no_mode, low, 0, 0.528
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, vhys, no_mode, high, 0, 0.631
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, vih, S, low, 0, 1.435
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, vih, S, high, 0, 1.557
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, vil, S, low, 0, 0.852
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, vil, S, high, 0, 0.985
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, iih, no_mode, low, 0, -4.54e-10
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, iih, no_mode, high, 0, -9.8e-11
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, iil, no_mode, low, 0, 2.752e-12
onnn180caopcm, ibacstxx_cm, 5sig_bc, 2.75, 0, iil, no_mode, high, 0, 2.764e-12
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, vih, no_mode, low, 0, 1.170
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, vih, no_mode, high, 0, 1.354
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, vil, no_mode, low, 0, 1.170
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, vil, no_mode, high, 0, 1.354
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, iih, no_mode, low, 0, -1.679e-11
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, iih, no_mode, high, 0, -1.651e-11
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, iil, no_mode, low, 0, 1.926e-11
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, iil, no_mode, high, 0, 1.928e-11
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, ipd, 0, single, 0, 5.008e-05
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, ipu, 3, single, 0, -5.93e-05
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, ibkpu, 2, single, 0, -4.423e-05
onnn180caopcm, ibacx6c3_cm, 5sig_bc, 2.75, 0, ibkpd, 2, single, 0, 3.702e-05
onnn180caopcm, ibacx6xx_cm, 5sig_bc, 2.75, 0, vih, no_mode, low, 0, 1.170
onnn180caopcm, ibacx6xx_cm, 5sig_bc, 2.75, 0, vih, no_mode, high, 0, 1.354
onnn180caopcm, ibacx6xx_cm, 5sig_bc, 2.75, 0, vil, no_mode, low, 0, 1.170
onnn180caopcm, ibacx6xx_cm, 5sig_bc, 2.75, 0, vil, no_mode, high, 0, 1.354
onnn180caopcm, ibacx6xx_cm, 5sig_bc, 2.75, 0, iih, no_mode, low, 0, -1.404e-11
onnn180caopcm, ibacx6xx_cm, 5sig_bc, 2.75, 0, iih, no_mode, high, 0, -1.376e-11
onnn180caopcm, ibacx6xx_cm, 5sig_bc, 2.75, 0, iil, no_mode, low, 0, 1.651e-11
onnn180caopcm, ibacx6xx_cm, 5sig_bc, 2.75, 0, iil, no_mode, high, 0, 1.652e-11
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, vih, no_mode, low, 0, 1.170
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, vih, no_mode, high, 0, 1.354
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, vil, no_mode, low, 0, 1.170
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, vil, no_mode, high, 0, 1.354
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, iih, no_mode, low, 0, -5.1e-10
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, iih, no_mode, high, 0, -1.01e-10
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, iil, no_mode, low, 0, 5.505e-12
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, iil, no_mode, high, 0, 5.527e-12
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, ipd, 0, single, 0, 5.004e-05
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, ipu, 3, single, 0, -5.929e-05
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, ibkpu, 2, single, 0, -4.305e-05
onnn180caopcm, ibacxtct_cm, 5sig_bc, 2.75, 0, ibkpd, 2, single, 0, 3.656e-05
onnn180caopcm, ibacxtxx_cm, 5sig_bc, 2.75, 0, vih, no_mode, low, 0, 1.170
onnn180caopcm, ibacxtxx_cm, 5sig_bc, 2.75, 0, vih, no_mode, high, 0, 1.354
onnn180caopcm, ibacxtxx_cm, 5sig_bc, 2.75, 0, vil, no_mode, low, 0, 1.170
onnn180caopcm, ibacxtxx_cm, 5sig_bc, 2.75, 0, vil, no_mode, high, 0, 1.354
onnn180caopcm, ibacxtxx_cm, 5sig_bc, 2.75, 0, iih, no_mode, low, 0, -4.54e-10
onnn180caopcm, ibacxtxx_cm, 5sig_bc, 2.75, 0, iih, no_mode, high, 0, -9.798e-11
onnn180caopcm, ibacxtxx_cm, 5sig_bc, 2.75, 0, iil, no_mode, low, 0, 2.752e-12
onnn180caopcm, ibacxtxx_cm, 5sig_bc, 2.75, 0, iil, no_mode, high, 0, 2.764e-12
onnn180caopcm, ibaqc6xx_cm, 5sig_bc, 2.75, 0, vih, no_mode, low, 0, 1.313
onnn180caopcm, ibaqc6xx_cm, 5sig_bc, 2.75, 0, vih, no_mode, high, 0, 1.514
onnn180caopcm, ibaqc6xx_cm, 5sig_bc, 2.75, 0, vil, no_mode, low, 0, 1.313
onnn180caopcm, ibaqc6xx_cm, 5sig_bc, 2.75, 0, vil, no_mode, high, 0, 1.514
onnn180caopcm, ibaqc6xx_cm, 5sig_bc, 2.75, 0, iih, no_mode, low, 0, -1.404e-11
onnn180caopcm, ibaqc6xx_cm, 5sig_bc, 2.75, 0, iih, no_mode, high, 0, -1.376e-11
onnn180caopcm, ibaqc6xx_cm, 5sig_bc, 2.75, 0, iil, no_mode, low, 0, 1.651e-11
onnn180caopcm, ibaqc6xx_cm, 5sig_bc, 2.75, 0, iil, no_mode, high, 0, 1.652e-11
onnn180caopcm, ioacs6c3cpxe02_cm, 5sig_bc, 2.75, 0, vhys, no_mode, low, 0, 0.528
