LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn022gxopc5, iosna0_lr_c5, bc, 1.32, 125, iil, no_mode, low, 0, 1.334e-11
onnn022gxopc5, iosna0_lr_c5, bc, 1.32, 125, iil, no_mode, high, 0, 2.743e-11
onnn022gxopc5, iosna0_tb_c5, bc, 1.32, 125, iih, no_mode, low, 0, -1.53e-10
onnn022gxopc5, iosna0_tb_c5, bc, 1.32, 125, iih, no_mode, high, 0, -1.459e-11
onnn022gxopc5, iosna0_tb_c5, bc, 1.32, 125, iil, no_mode, low, 0, 1.334e-11
onnn022gxopc5, iosna0_tb_c5, bc, 1.32, 125, iil, no_mode, high, 0, 2.743e-11
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, vhys, no_mode, low, 0, 0.717
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, vhys, no_mode, high, 0, 0.796
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, vih, S, low, 0, 1.422
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, vih, S, high, 0, 1.440
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, vil, S, low, 0, 0.626
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, vil, S, high, 0, 0.723
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, iih, no_mode, low, 0, -1.228e-08
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, iih, no_mode, high, 0, -1.899e-09
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, iil, no_mode, low, 0, 1.982e-09
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, iil, no_mode, high, 0, 1.128e-08
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, ipd, 2, single, 0, 9.572e-06
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, ipu, 1, single, 0, -2.378e-05
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, ipu, 3, single, 0, -0.000238
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, ioh, 0, single, 2, -0.003728
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, iol, 0, single, 2, 0.004089
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, ioh, 1, single, 4, -0.007451
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, iol, 1, single, 4, 0.008171
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, ioh, 2, single, 8, -0.01488
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, iol, 2, single, 8, 0.01632
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, ioh, 3, single, 12, -0.02228
onnn022gxopc5, ioagp6c3cxxe02x12p2_lr_c5, bc, 1.98, 125, iol, 3, single, 12, 0.02443
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, vhys, no_mode, low, 0, 0.712
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, vhys, no_mode, high, 0, 0.792
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, vih, S, low, 0, 1.422
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, vih, S, high, 0, 1.441
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, vil, S, low, 0, 0.631
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, vil, S, high, 0, 0.728
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, iih, no_mode, low, 0, -1.228e-08
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, iih, no_mode, high, 0, -1.899e-09
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, iil, no_mode, low, 0, 1.982e-09
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, iil, no_mode, high, 0, 1.128e-08
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, ipd, 2, single, 0, 9.572e-06
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, ipu, 1, single, 0, -2.378e-05
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, ipu, 3, single, 0, -0.000238
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, ioh, 0, single, 2, -0.003728
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, iol, 0, single, 2, 0.004089
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, ioh, 1, single, 4, -0.007451
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, iol, 1, single, 4, 0.008171
onnn022gxopc5, ioagp6c3cxxe02x12p2_tb_c5, bc, 1.98, 125, ioh, 2, single, 8, -0.01488
