LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, vhys, no_mode, low, 0, 0.302
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, vhys, no_mode, high, 0, 0.362
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, vih, S, low, 0, 1.108
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, vih, S, high, 0, 1.154
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, vil, S, low, 0, 0.755
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, vil, S, high, 0, 0.840
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, ioh, no_mode, single, 8, -0.02363
onnn180cxoptl, ioacs6c3cxxe08_tl, bc, 1.98, 0, iol, no_mode, single, 8, 0.02025
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, vhys, no_mode, low, 0, 0.302
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, vhys, no_mode, high, 0, 0.362
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, vih, S, low, 0, 1.108
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, vih, S, high, 0, 1.154
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, vil, S, low, 0, 0.755
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, vil, S, high, 0, 0.840
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, ioh, no_mode, single, 12, -0.03539
onnn180cxoptl, ioacs6c3cxxe12_tl, bc, 1.98, 0, iol, no_mode, single, 12, 0.0303
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, vhys, no_mode, low, 0, 0.302
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, vhys, no_mode, high, 0, 0.362
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, vih, S, low, 0, 1.108
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, vih, S, high, 0, 1.154
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, vil, S, low, 0, 0.755
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, vil, S, high, 0, 0.840
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, ioh, no_mode, single, 16, -0.03931
onnn180cxoptl, ioacs6c3cxxe16_tl, bc, 1.98, 0, iol, no_mode, single, 16, 0.04031
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, vhys, no_mode, low, 0, 0.302
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, vhys, no_mode, high, 0, 0.362
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, vih, S, low, 0, 1.108
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, vih, S, high, 0, 1.154
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, vil, S, low, 0, 0.755
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, vil, S, high, 0, 0.840
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, ioh, no_mode, single, 24, -0.05487
onnn180cxoptl, ioacs6c3cxxe24_tl, bc, 1.98, 0, iol, no_mode, single, 24, 0.0603
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, vhys, no_mode, low, 0, 0.302
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, vhys, no_mode, high, 0, 0.362
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, vih, S, low, 0, 1.108
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, vih, S, high, 0, 1.154
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, vil, S, low, 0, 0.755
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, vil, S, high, 0, 0.840
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.32e-10
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.5e-10
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.47e-10
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.543e-08
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, ioh, no_mode, single, 16, -0.03931
onnn180cxoptl, ioacs6xxcxxe16_tl, bc, 1.98, 0, iol, no_mode, single, 16, 0.04031
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, vhys, no_mode, low, 0, 0.302
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, vhys, no_mode, high, 0, 0.362
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, vih, S, low, 0, 1.108
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, vih, S, high, 0, 1.154
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, vil, S, low, 0, 0.755
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, vil, S, high, 0, 0.840
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.32e-10
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.5e-10
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.47e-10
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.543e-08
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, ioh, no_mode, single, 24, -0.05487
onnn180cxoptl, ioacs6xxcxxe24_tl, bc, 1.98, 0, iol, no_mode, single, 24, 0.0603
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, vih, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, vih, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, vil, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, vil, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, ioh, no_mode, single, 4, -0.01184
onnn180cxoptl, ioacx6c3cxxe04_tl, bc, 1.98, 0, iol, no_mode, single, 4, 0.01014
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, vih, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, vih, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, vil, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, vil, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, ioh, no_mode, single, 8, -0.02363
onnn180cxoptl, ioacx6c3cxxe08_tl, bc, 1.98, 0, iol, no_mode, single, 8, 0.02025
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, vih, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, vih, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, vil, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, vil, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, ioh, no_mode, single, 12, -0.03539
onnn180cxoptl, ioacx6c3cxxe12_tl, bc, 1.98, 0, iol, no_mode, single, 12, 0.0303
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, vih, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, vih, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, vil, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, vil, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, ioh, no_mode, single, 16, -0.03931
onnn180cxoptl, ioacx6c3cxxe16_tl, bc, 1.98, 0, iol, no_mode, single, 16, 0.04031
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, vih, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, vih, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, vil, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, vil, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.54e-10
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.52e-10
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.49e-10
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.572e-08
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, ipd, 0, single, 0, 5.448e-05
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, ipu, 3, single, 0, -5.089e-05
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, ibkpu, 2, single, 0, -1.536e-05
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, ibkpd, 2, single, 0, 1.634e-05
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, ioh, no_mode, single, 24, -0.05487
onnn180cxoptl, ioacx6c3cxxe24_tl, bc, 1.98, 0, iol, no_mode, single, 24, 0.0603
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, vih, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, vih, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, vil, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, vil, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.32e-10
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, iih, no_mode, high, 0, -2.5e-10
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, iil, no_mode, low, 0, 3.47e-10
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, iil, no_mode, high, 0, 1.543e-08
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, ioh, no_mode, single, 4, -0.01184
onnn180cxoptl, ioacx6xxcxxe04_tl, bc, 1.98, 0, iol, no_mode, single, 4, 0.01014
onnn180cxoptl, ioacx6xxcxxe08_tl, bc, 1.98, 0, vih, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6xxcxxe08_tl, bc, 1.98, 0, vih, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6xxcxxe08_tl, bc, 1.98, 0, vil, no_mode, low, 0, 0.865
onnn180cxoptl, ioacx6xxcxxe08_tl, bc, 1.98, 0, vil, no_mode, high, 0, 0.959
onnn180cxoptl, ioacx6xxcxxe08_tl, bc, 1.98, 0, iih, no_mode, low, 0, -9.32e-10
