LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, vhys, no_mode, low, 0, 0.243
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, vhys, no_mode, high, 0, 0.268
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, vih, S, low, 0, 1.241
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, vih, S, high, 0, 1.319
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, vil, S, low, 0, 0.993
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, vil, S, high, 0, 1.054
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.7e-10
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.63e-10
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.13e-10
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.75e-10
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.883e-05
onnn180cxoptc, ibacstct_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, vhys, no_mode, low, 0, 0.243
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, vhys, no_mode, high, 0, 0.268
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, vih, S, low, 0, 1.241
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, vih, S, high, 0, 1.319
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, vil, S, low, 0, 0.993
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, vil, S, high, 0, 1.054
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.56e-10
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.49e-10
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.1e-10
onnn180cxoptc, ibacstxx_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.72e-10
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.7e-10
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.63e-10
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.13e-10
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.75e-10
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.883e-05
onnn180cxoptc, ibacxtct_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ibacxtxx_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ibacxtxx_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ibacxtxx_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ibacxtxx_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ibacxtxx_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.56e-10
onnn180cxoptc, ibacxtxx_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.49e-10
onnn180cxoptc, ibacxtxx_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.1e-10
onnn180cxoptc, ibacxtxx_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.72e-10
onnn180cxoptc, ibaqc6xx_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.340
onnn180cxoptc, ibaqc6xx_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.419
onnn180cxoptc, ibaqc6xx_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.340
onnn180cxoptc, ibaqc6xx_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.419
onnn180cxoptc, ibaqc6xx_tc, bc, 2.75, 0, iih, no_mode, low, 0, -5.523e-11
onnn180cxoptc, ibaqc6xx_tc, bc, 2.75, 0, iih, no_mode, high, 0, -5.502e-11
onnn180cxoptc, ibaqc6xx_tc, bc, 2.75, 0, iil, no_mode, low, 0, 3.99e-10
onnn180cxoptc, ibaqc6xx_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.58e-10
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, vhys, no_mode, low, 0, 0.243
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, vhys, no_mode, high, 0, 0.268
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, vih, S, low, 0, 1.238
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, vih, S, high, 0, 1.316
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, vil, S, low, 0, 0.990
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, vil, S, high, 0, 1.051
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.76e-10
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.69e-10
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, ioh, no_mode, single, 1, -0.003052
onnn180cxoptc, ioacstctcxte01_tc, bc, 2.75, 0, iol, no_mode, single, 1, 0.003202
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, vhys, no_mode, low, 0, 0.243
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, vhys, no_mode, high, 0, 0.268
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, vih, S, low, 0, 1.238
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, vih, S, high, 0, 1.316
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, vil, S, low, 0, 0.990
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, vil, S, high, 0, 1.051
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, iih, no_mode, low, 0, -9.58e-10
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.7e-10
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, ioh, no_mode, single, 4, -0.01223
onnn180cxoptc, ioacstctcxte04_tc, bc, 2.75, 0, iol, no_mode, single, 4, 0.009595
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, vhys, no_mode, low, 0, 0.243
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, vhys, no_mode, high, 0, 0.268
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, vih, S, low, 0, 1.238
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, vih, S, high, 0, 1.316
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, vil, S, low, 0, 0.990
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, vil, S, high, 0, 1.051
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, iih, no_mode, low, 0, -4.352e-09
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.69e-10
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, ioh, no_mode, single, 8, -0.02436
onnn180cxoptc, ioacstctcxte08_tc, bc, 2.75, 0, iol, no_mode, single, 8, 0.01916
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, vhys, no_mode, low, 0, 0.243
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, vhys, no_mode, high, 0, 0.268
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, vih, S, low, 0, 1.238
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, vih, S, high, 0, 1.316
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, vil, S, low, 0, 0.990
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, vil, S, high, 0, 1.051
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, iih, no_mode, low, 0, -3.13e-10
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.7e-10
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, ioh, no_mode, single, 12, -0.03345
onnn180cxoptc, ioacstctcxte12_tc, bc, 2.75, 0, iol, no_mode, single, 12, 0.02868
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, vhys, no_mode, low, 0, 0.243
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, vhys, no_mode, high, 0, 0.268
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, vih, S, low, 0, 1.238
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, vih, S, high, 0, 1.316
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, vil, S, low, 0, 0.990
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, vil, S, high, 0, 1.051
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.76e-10
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.69e-10
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, ioh, no_mode, single, 16, -0.04548
onnn180cxoptc, ioacstctcxte16_tc, bc, 2.75, 0, iol, no_mode, single, 16, 0.03817
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, vhys, no_mode, low, 0, 0.243
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, vhys, no_mode, high, 0, 0.268
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, vih, S, low, 0, 1.238
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, vih, S, high, 0, 1.316
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, vil, S, low, 0, 0.990
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, vil, S, high, 0, 1.051
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, iih, no_mode, low, 0, -4.861e-09
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.7e-10
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, ioh, no_mode, single, 24, -0.06047
onnn180cxoptc, ioacstctcxte24_tc, bc, 2.75, 0, iol, no_mode, single, 24, 0.05077
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.76e-10
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.69e-10
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, ioh, no_mode, single, 4, -0.01223
onnn180cxoptc, ioacxtctcxte04_tc, bc, 2.75, 0, iol, no_mode, single, 4, 0.009595
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.76e-10
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.69e-10
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, ioh, no_mode, single, 8, -0.02436
onnn180cxoptc, ioacxtctcxte08_tc, bc, 2.75, 0, iol, no_mode, single, 8, 0.01916
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.76e-10
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.69e-10
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, ioh, no_mode, single, 12, -0.03345
onnn180cxoptc, ioacxtctcxte12_tc, bc, 2.75, 0, iol, no_mode, single, 12, 0.02868
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.76e-10
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.69e-10
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, ioh, no_mode, single, 16, -0.04548
onnn180cxoptc, ioacxtctcxte16_tc, bc, 2.75, 0, iol, no_mode, single, 16, 0.03817
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.76e-10
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.69e-10
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.15e-10
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.78e-10
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, ipd, 0, single, 0, 6.728e-05
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, ipu, 3, single, 0, -6.25e-05
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, ibkpu, 2, single, 0, -1.884e-05
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, ibkpd, 2, single, 0, 2.043e-05
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, ioh, no_mode, single, 24, -0.06047
onnn180cxoptc, ioacxtctcxte24_tc, bc, 2.75, 0, iol, no_mode, single, 24, 0.05077
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.62e-10
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.55e-10
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.13e-10
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.75e-10
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, ioh, no_mode, single, 4, -0.01223
onnn180cxoptc, ioacxtxxcxte04_tc, bc, 2.75, 0, iol, no_mode, single, 4, 0.009595
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.62e-10
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.55e-10
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.13e-10
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.75e-10
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, ioh, no_mode, single, 8, -0.02436
onnn180cxoptc, ioacxtxxcxte08_tc, bc, 2.75, 0, iol, no_mode, single, 8, 0.01916
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.62e-10
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.55e-10
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.13e-10
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.75e-10
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, ioh, no_mode, single, 12, -0.03345
onnn180cxoptc, ioacxtxxcxte12_tc, bc, 2.75, 0, iol, no_mode, single, 12, 0.02868
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, vil, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, iih, no_mode, low, 0, -1.62e-10
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, iih, no_mode, high, 0, -1.55e-10
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, iil, no_mode, low, 0, 4.13e-10
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, iil, no_mode, high, 0, 4.75e-10
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, ioh, no_mode, single, 16, -0.04548
onnn180cxoptc, ioacxtxxcxte16_tc, bc, 2.75, 0, iol, no_mode, single, 16, 0.03817
onnn180cxoptc, ioacxtxxcxte24_tc, bc, 2.75, 0, vih, no_mode, low, 0, 1.132
onnn180cxoptc, ioacxtxxcxte24_tc, bc, 2.75, 0, vih, no_mode, high, 0, 1.207
onnn180cxoptc, ioacxtxxcxte24_tc, bc, 2.75, 0, vil, no_mode, low, 0, 1.132
