LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn065cxipfb, BC1535_A, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1535_A, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1535_A, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1535_A, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1535_A, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1535_A, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1535_A, bc, 1.65, 125, iih, no_mode, high, 0, -7.104e-08
onnn065cxipfb, BC1535_A, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
onnn065cxipfb, BC1535_A, bc, 1.65, 125, iil, no_mode, high, 0, 9.32e-07
onnn065cxipfb, BC1535_A, bc, 1.65, 125, ipd, 1, single, 0, 0.000124
onnn065cxipfb, BC1535_A, bc, 1.65, 125, ipu, 3, single, 0, -0.000147
onnn065cxipfb, BC1535_A, bc, 1.65, 125, ioh, no_mode, single, 12, -0.01661
onnn065cxipfb, BC1535_A, bc, 1.65, 125, iol, no_mode, single, 12, 0.01648
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vhys, no_mode, low, 0, 0.125
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vhys, no_mode, high, 0, 0.167
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vih, S, low, 0, 0.867
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vih, S, high, 0, 1.024
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vil, S, low, 0, 0.727
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1535_B, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1535_B, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1535_B, bc, 1.65, 125, iih, no_mode, high, 0, -7.104e-08
onnn065cxipfb, BC1535_B, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
onnn065cxipfb, BC1535_B, bc, 1.65, 125, iil, no_mode, high, 0, 9.32e-07
onnn065cxipfb, BC1535_B, bc, 1.65, 125, ipd, 1, single, 0, 0.000124
onnn065cxipfb, BC1535_B, bc, 1.65, 125, ipu, 3, single, 0, -0.000147
onnn065cxipfb, BC1535_B, bc, 1.65, 125, ioh, no_mode, single, 12, -0.01661
onnn065cxipfb, BC1535_B, bc, 1.65, 125, iol, no_mode, single, 12, 0.01648
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vhys, no_mode, low, 0, 0.125
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vhys, no_mode, high, 0, 0.167
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vih, S, low, 0, 0.867
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vih, S, high, 0, 1.024
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vil, S, low, 0, 0.727
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1535_C, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1535_C, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1535_C, bc, 1.65, 125, iih, no_mode, high, 0, -7.104e-08
onnn065cxipfb, BC1535_C, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
onnn065cxipfb, BC1535_C, bc, 1.65, 125, iil, no_mode, high, 0, 9.32e-07
onnn065cxipfb, BC1535_C, bc, 1.65, 125, ipd, 1, single, 0, 0.000124
onnn065cxipfb, BC1535_C, bc, 1.65, 125, ipu, 3, single, 0, -0.000147
onnn065cxipfb, BC1535_C, bc, 1.65, 125, ioh, no_mode, single, 12, -0.01661
onnn065cxipfb, BC1535_C, bc, 1.65, 125, iol, no_mode, single, 12, 0.01648
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vhys, no_mode, low, 0, 0.125
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vhys, no_mode, high, 0, 0.167
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vih, S, low, 0, 0.867
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vih, S, high, 0, 1.024
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vil, S, low, 0, 0.727
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1550_A, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1550_A, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1550_A, bc, 1.65, 125, iih, no_mode, high, 0, -7.103e-08
onnn065cxipfb, BC1550_A, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
onnn065cxipfb, BC1550_A, bc, 1.65, 125, iil, no_mode, high, 0, 9.32e-07
onnn065cxipfb, BC1550_A, bc, 1.65, 125, ipd, 1, single, 0, 0.000124
onnn065cxipfb, BC1550_A, bc, 1.65, 125, ipu, 3, single, 0, -0.000147
onnn065cxipfb, BC1550_A, bc, 1.65, 125, ioh, no_mode, single, 8, -0.0113
onnn065cxipfb, BC1550_A, bc, 1.65, 125, iol, no_mode, single, 8, 0.01125
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vhys, no_mode, low, 0, 0.125
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vhys, no_mode, high, 0, 0.167
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vih, S, low, 0, 0.867
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vih, S, high, 0, 1.024
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vil, S, low, 0, 0.727
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1550_B, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1550_B, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1550_B, bc, 1.65, 125, iih, no_mode, high, 0, -7.103e-08
onnn065cxipfb, BC1550_B, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
onnn065cxipfb, BC1550_B, bc, 1.65, 125, iil, no_mode, high, 0, 9.32e-07
onnn065cxipfb, BC1550_B, bc, 1.65, 125, ipd, 1, single, 0, 0.000124
onnn065cxipfb, BC1550_B, bc, 1.65, 125, ipu, 3, single, 0, -0.000147
onnn065cxipfb, BC1550_B, bc, 1.65, 125, ioh, no_mode, single, 8, -0.0113
onnn065cxipfb, BC1550_B, bc, 1.65, 125, iol, no_mode, single, 8, 0.01125
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vhys, no_mode, low, 0, 0.125
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vhys, no_mode, high, 0, 0.167
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vih, S, low, 0, 0.867
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vih, S, high, 0, 1.024
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vil, S, low, 0, 0.727
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1550_C, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1550_C, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1550_C, bc, 1.65, 125, iih, no_mode, high, 0, -7.103e-08
onnn065cxipfb, BC1550_C, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
onnn065cxipfb, BC1550_C, bc, 1.65, 125, iil, no_mode, high, 0, 9.32e-07
onnn065cxipfb, BC1550_C, bc, 1.65, 125, ipd, 1, single, 0, 0.000124
onnn065cxipfb, BC1550_C, bc, 1.65, 125, ipu, 3, single, 0, -0.000147
onnn065cxipfb, BC1550_C, bc, 1.65, 125, ioh, no_mode, single, 8, -0.0113
onnn065cxipfb, BC1550_C, bc, 1.65, 125, iol, no_mode, single, 8, 0.01125
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vhys, no_mode, low, 0, 0.125
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vhys, no_mode, high, 0, 0.167
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vih, S, low, 0, 0.867
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vih, S, high, 0, 1.024
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vil, S, low, 0, 0.727
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1565_A, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1565_A, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1565_A, bc, 1.65, 125, iih, no_mode, high, 0, -7.103e-08
onnn065cxipfb, BC1565_A, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
onnn065cxipfb, BC1565_A, bc, 1.65, 125, iil, no_mode, high, 0, 9.32e-07
onnn065cxipfb, BC1565_A, bc, 1.65, 125, ipd, 1, single, 0, 0.000124
onnn065cxipfb, BC1565_A, bc, 1.65, 125, ipu, 3, single, 0, -0.000147
onnn065cxipfb, BC1565_A, bc, 1.65, 125, ioh, no_mode, single, 6, -0.008577
onnn065cxipfb, BC1565_A, bc, 1.65, 125, iol, no_mode, single, 6, 0.00855
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vhys, no_mode, low, 0, 0.125
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vhys, no_mode, high, 0, 0.167
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vih, S, low, 0, 0.867
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vih, S, high, 0, 1.024
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vil, S, low, 0, 0.727
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1565_B, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1565_B, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1565_B, bc, 1.65, 125, iih, no_mode, high, 0, -7.103e-08
onnn065cxipfb, BC1565_B, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
onnn065cxipfb, BC1565_B, bc, 1.65, 125, iil, no_mode, high, 0, 9.32e-07
onnn065cxipfb, BC1565_B, bc, 1.65, 125, ipd, 1, single, 0, 0.000124
onnn065cxipfb, BC1565_B, bc, 1.65, 125, ipu, 3, single, 0, -0.000147
onnn065cxipfb, BC1565_B, bc, 1.65, 125, ioh, no_mode, single, 6, -0.008577
onnn065cxipfb, BC1565_B, bc, 1.65, 125, iol, no_mode, single, 6, 0.00855
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vhys, no_mode, low, 0, 0.125
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vhys, no_mode, high, 0, 0.167
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vih, S, low, 0, 0.867
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vih, S, high, 0, 1.024
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vil, S, low, 0, 0.727
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vil, S, high, 0, 0.880
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vih, no_mode, low, 0, 0.789
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vih, no_mode, high, 0, 0.931
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vil, no_mode, low, 0, 0.789
onnn065cxipfb, BC1565_C, bc, 1.65, 125, vil, no_mode, high, 0, 0.930
onnn065cxipfb, BC1565_C, bc, 1.65, 125, iih, no_mode, low, 0, -1.535e-06
onnn065cxipfb, BC1565_C, bc, 1.65, 125, iih, no_mode, high, 0, -7.103e-08
onnn065cxipfb, BC1565_C, bc, 1.65, 125, iil, no_mode, low, 0, 1.146e-08
